identifier	text	seq	syn	dep_left	dep_right	chunk
abandon	the trait of lacking restraint or control.	['the', 'trait', 'of', 'lacking', 'restraint', 'or', 'control', '.']	[['the', 'trait'], ['of', ['lacking', ['restraint', 'or', 'control']]], '.']	['trait', 'the', ['lacking', 'of', ['restraint', 'or', 'control']], '.']	['the', ['of', ['or', 'control', 'restraint'], 'lacking'], '.', 'trait']	[['the', 'trait'], 'of', 'lacking', 'restraint', 'or', 'control', '.']
abstract	a concept or idea not associated with any specific instance.	['a', 'concept', 'or', 'idea', 'not', 'associated', 'with', 'any', 'specific', 'instance', '.']	[[['a', 'concept'], 'or', 'idea'], ['not', 'associated', ['with', ['any', 'specific', 'instance']]], '.']	['concept', 'a', 'or', 'idea', ['associated', 'not', ['instance', 'with', 'any', 'specific']], '.']	['a', 'or', 'idea', ['not', ['with', 'any', 'specific', 'instance'], 'associated'], '.', 'concept']	[['a', 'concept'], 'or', 'idea', 'not', 'associated', 'with', ['any', 'specific', 'instance'], '.']
ad	a public promotion of some product or service.	['a', 'public', 'promotion', 'of', 'some', 'product', 'or', 'service', '.']	[['a', 'public', 'promotion'], ['of', ['some', 'product', 'or', 'service']], '.']	['promotion', 'a', 'public', ['product', 'of', 'some', 'or', 'service'], '.']	['a', 'public', ['of', 'some', 'or', 'service', 'product'], '.', 'promotion']	[['a', 'public', 'promotion'], 'of', ['some', 'product'], 'or', 'service', '.']
advertisement	a public promotion of some product or service.	['a', 'public', 'promotion', 'of', 'some', 'product', 'or', 'service', '.']	[['a', 'public', 'promotion'], ['of', ['some', 'product', 'or', 'service']], '.']	['promotion', 'a', 'public', ['product', 'of', 'some', 'or', 'service'], '.']	['a', 'public', ['of', 'some', 'or', 'service', 'product'], '.', 'promotion']	[['a', 'public', 'promotion'], 'of', ['some', 'product'], 'or', 'service', '.']
aerial	a pass to a receiver downfield from the passer.	['a', 'pass', 'to', 'a', 'receiver', 'downfield', 'from', 'the', 'passer', '.']	[['a', 'pass'], ['to', [['a', 'receiver'], 'downfield']], ['from', ['the', 'passer']], '.']	['pass', 'a', ['receiver', 'to', 'a'], ['downfield', ['passer', 'from', 'the']], '.']	['a', ['to', 'a', 'receiver'], [['from', 'the', 'passer'], 'downfield'], '.', 'pass']	[['a', 'pass'], 'to', ['a', 'receiver', 'downfield'], 'from', ['the', 'passer'], '.']
air	a mixture of gases (especially oxygen) required for breathing.	['a', 'mixture', 'of', 'gases', '(', 'especially', 'oxygen', ')', 'required', 'for', 'breathing', '.']	[[['a', 'mixture'], ['of', ['gases', ['-LRB-', ['especially', 'oxygen'], '-RRB-']]]], ['required', ['for', 'breathing']], '.']	['mixture', 'a', ['gases', 'of', ['oxygen', '-LRB-', 'especially', '-RRB-']], ['required', ['breathing', 'for']], '.']	['a', ['of', ['-LRB-', 'especially', '-RRB-', 'oxygen'], 'gases'], [['for', 'breathing'], 'required'], '.', 'mixture']	[['a', 'mixture'], 'of', 'gases', '(', ['especially', 'oxygen'], ')', 'required', 'for', 'breathing', '.']
aircraft	a vehicle that can fly.	['a', 'vehicle', 'that', 'can', 'fly', '.']	['a', 'vehicle', ['that', ['can', 'fly']], '.']	['vehicle', 'a', ['fly', 'that', 'can'], '.']	['a', ['that', 'can', 'fly'], '.', 'vehicle']	[['a', 'vehicle'], 'that', 'can', 'fly', '.']
airplane	an aircraft that has a fixed wing and is powered by propellers or jets.	['an', 'aircraft', 'that', 'has', 'a', 'fixed', 'wing', 'and', 'is', 'powered', 'by', 'propellers', 'or', 'jets', '.']	['an', 'aircraft', ['that', [['has', ['a', 'fixed', 'wing']], 'and', ['is', ['powered', ['by', ['propellers', 'or', 'jets']]]]]], '.']	['aircraft', 'an', ['has', 'that', ['wing', 'a', 'fixed'], 'and', ['powered', 'is', ['propellers', 'by', 'or', 'jets']]], '.']	['an', ['that', ['a', 'fixed', 'wing'], 'and', ['is', ['by', 'or', 'jets', 'propellers'], 'powered'], 'has'], '.', 'aircraft']	[['an', 'aircraft'], 'that', 'has', ['a', 'fixed', 'wing'], 'and', 'is', 'powered', 'by', 'propellers', 'or', 'jets', '.']
airport	an airfield equipped with control tower and hangars as well as accommodations for passengers and cargo.	['an', 'airfield', 'equipped', 'with', 'control', 'tower', 'and', 'hangars', 'as', 'well', 'as', 'accommodations', 'for', 'passengers', 'and', 'cargo', '.']	[[['an', 'airfield', ['equipped', ['with', 'control']], 'tower'], 'and', 'hangars'], ['as', 'well', 'as'], ['accommodations', ['for', ['passengers', 'and', 'cargo']]], '.']	['airfield', 'an', ['equipped', ['tower', 'with', 'control', 'and', 'hangars', ['as', 'well', 'as'], ['accommodations', ['passengers', 'for', 'and', 'cargo']]]], '.']	['an', [['with', 'control', 'and', 'hangars', ['well', 'as', 'as'], [['for', 'and', 'cargo', 'passengers'], 'accommodations'], 'tower'], 'equipped'], '.', 'airfield']	[['an', 'airfield'], 'equipped', 'with', ['control', 'tower'], 'and', 'hangars', 'as', 'well', 'as', 'accommodations', 'for', 'passengers', 'and', 'cargo', '.']
alley	a narrow street with walls on both sides.	['a', 'narrow', 'street', 'with', 'walls', 'on', 'both', 'sides', '.']	[['a', 'narrow', 'street'], ['with', 'walls'], ['on', ['both', 'sides']], '.']	['street', 'a', 'narrow', ['walls', 'with', ['sides', 'on', 'both']], '.']	['a', 'narrow', ['with', ['on', 'both', 'sides'], 'walls'], '.', 'street']	[['a', 'narrow', 'street'], 'with', 'walls', 'on', ['both', 'sides'], '.']
